,end_station_name,end_station_description,end_station_latitude,end_station_longitude,frequency_end_station
108,Holyrood Park - Woman's Tour Of Scotland (Event 11/08/19),Holyrood Park - Woman's Tour Of Scotland (Event 11/08/19),55.95135352288074,-3.168590609786974,5
110,Eden Locke - Aparthotel (RESIDENTS ONLY),Eden Locke - Aparthotel (RESIDENTS ONLY),55.95264053655981,-3.205665534467016,23
111,Haymarket - Murrayfield Rugby Event,Sustrans car parking space 31 for Murrayfield Rugby Event,55.945452213917534,-3.219679557435938,11
115,Sighthill - Edinburgh College,Sighthill Campus,55.926664566092654,-3.289467852759799,698
116,Brunswick Place - Virtual,Junction Brunswick Street and Elm Row,55.960929747664,-3.181005314780577,485
117,Fort Kinnaird,Next to Playpark/Cafe Nero,55.93437199635734,-3.105037819791278,6
118,Pleasance - Edinburgh University Sports Fair,Pleasance Sports Complex,55.94820962824952,-3.181597452807864,6
121,HSBC UK Lets Ride - Meadows Event,20 point virtual docking station for UK lets Ride Event,55.93997775814967,-3.189862157672223,50
123,Heriot Watt - Student Accomodation (Anna MacLeod Halls),Heriot Watt - Student Accomodation Heriot Watt - Student Accomodation (Anna MacLeod Halls)),55.90840398606208,-3.328825358925314,35
124,Heriot Watt - Edinburgh Business School,Heriot Watt - Edinburgh Business School,55.90880966452917,-3.320141905887681,1008
128,Depot Virtual,Depot internal station,55.97233473082818,-3.155781602605998,6
130,Cycling Scotland Conference,Murrayfield Stadium,55.940886347739024,-3.240777565829148,2
131,Crescent House,Crescent House,55.96391066325888,-3.191861874639585,9
142,Ellersly Road,Corner with A8 Corstorphine Road at Western Terrace,55.945045875212095,-3.250881447188249,703
146,Royal Edinburgh Hospital,Next to Kennedy Tower,55.92781815597736,-3.213307722203224,428
149,Heriot Watt - Student Accommodation,Outside Anna Macleod Halls,55.90841344459825,-3.328783525816887,429
152,Edinburgh Park Station,Next to Rail and Tram stations,55.92738267693901,-3.307442444578868,966
154,The Loan,Next to East Coast Tyres,55.98989968232655,-3.397772901929727,766
155,Borrowman Square,Near to Scotstoun Bus Terminus,55.98260596953824,-3.381454898058535,548
157,Forth Bridge Visitors Centre,Off Ferrymuir Gait,55.987743170866025,-3.40375244599943,489
158,Dalmeny Station,Next to bike shelter,55.98676132611317,-3.382426853781425,324
160,Ingliston Park & Ride,Next to Customer Service building,55.9387919459937,-3.355556216932513,224
161,Port Edgar Marina,Next to Marina Shop and Restaurant,55.992957267668345,-3.407156205559118,203
162,Tesco Ferrymuir,Outside supermarket,55.98376618789104,-3.401351801602175,200
163,Scotstoun House,ARUP Edinburgh,55.98110725959637,-3.39421060796127,122
164,Edinburgh Park Central,Between Lochside Court and Lochside Avenue,55.931168715771065,-3.314414297805683,237
166,Musselburgh Lidl,Musselborough North High Street opposite Harbour Road,55.94388031687606,-3.066753916217862,838
167,Musselburgh Brunton Hall,Adjacent to the Brunton Theatre,55.94400897108537,-3.058492533629163,379
