,end_station_name,end_station_description,end_station_latitude,end_station_longitude,frequency_end_station
78,Wester Coates Terrace,Corner of Wester Coates Terrace & Roseburn Terrace,55.9456092021698,-3.231715619159217,2699
79,Craigleith Road,Craigleith road by bus stop,55.95661859471628,-3.237802968201094,1516
80,Edinburgh Zoo,Outside zoo gatehouse,55.942221825711776,-3.268697484588187,1066
81,Murrayfield Tram,By the side of the station entrance,55.9419563895648,-3.237802024128314,1324
82,Gamekeeper's Road,Corner of Gamekeeper's Road & Whitehouse Road,55.96953169937321,-3.307305425252252,1583
83,Murrayfield,Riversdale Crescent,55.94476686576929,-3.243687888944919,1259
85,Logie Green Road,Outside Lidl,55.96403450946105,-3.195673725279903,2222
89,West Crosscauseway,Corner of West Crosscauseway & Buccleugh Street,55.94386198333096,-3.184972223259024,3593
94,Hillside Crescent,East corner of Hillside Crescent & London Road,55.957792800284125,-3.175798619087572,5396
99,Hunter Square,07 point angled physical docking station,55.94969158307013,-3.18781281937504,2418
100,Grassmarket,West end of Grassmarket,55.947097278583385,-3.1972457326126,2919
103,Constitution Street,Next to Burns Statue,55.97544142756835,-3.166806411195239,1733
109,Queen Margaret University,Opposite Maggies student union,55.93193490858167,-3.073045771766146,1452
112,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.205765497136553,3950
113,Milton Road - Edinburgh College,Milton Road Campus,55.94405135341408,-3.098567246199309,1526
114,Kings Buildings - Murchison House,West end of campus,55.92446420087144,-3.178731512475451,1308
119,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,4240
120,Belford Road,Outside Scottish National Gallery,55.95197357717703,-3.226124804664096,1030
122,Haymarket Station,Haymarket Station,55.94558221753474,-3.218192059354351,3022
125,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.185474585938891,2240
126,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090287,16656
127,McDonald Road,Next to Fire Station,55.9640310527501,-3.185175372950425,4048
129,Pleasance Courtyard,"Edinburgh University, The Pleasance",55.947566653309394,-3.181591941706529,1378
132,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.195470336902758,2672
133,Dean Street,Corner of Dean Park Mews,55.957278012740645,-3.214285387389054,1519
134,Edinburgh Royal Infirmary,"Little France, Old Dalkeith Road, Edinburgh",55.92063236018849,-3.140540732733598,1697
135,IGMM - Western General,The Institute of Genetics and Molecular Medicine,55.96264210870907,-3.231915547243943,2470
136,Waitrose Comely Bank,On Fettes Avenue next to Waitrose,55.95953624971772,-3.223434402338853,2865
137,Meggetland,Meggetland Sports Complex,55.92758664038103,-3.23367105304419,2860
138,Western General Hospital,Porterfield Road,55.963453810934496,-3.232909305683961,2135
139,Haymarket Terrace,Corner of Magdala Crescent,55.946063966641006,-3.223024024359574,2293
140,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,4372
141,Balgreen Road,Opposite Jenners Depository,55.93894174548949,-3.251110776059022,2243
143,Joppa,East end of Promenade,55.94894930668582,-3.094727261654725,4052
144,Chambers Street,Outside National Museum,55.94760044619224,-3.188919736735215,1359
145,Gorgie Road,Corner with McLeod Street,55.9387414422504,-3.229909254900902,3349
147,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.17221628009507,5279
148,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655,5824
150,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429,11264
151,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.212354285094022,2565
153,Boroughmuir,Off Gibson Terrace,55.94007146917616,-3.215335840688084,4245
156,Hopetoun Road,Junction with Farquhar Terrace/Boness Road,55.99018214620787,-3.404603924278717,1086
159,Hawes Pier,Off Newhalls Road,55.99052952143077,-3.385596660576908,1911
165,Leith Walk North,Next to Allander House,55.96791807044289,-3.17358629706473,1537
168,Picardy Place,Outside Omni Centre,55.95653524179326,-3.18624761207468,1475
